event_code,lot_number,plate_raw,hammer_price_gbp,predicted_price_gbp,valuation_low_gbp,valuation_central_gbp,valuation_high_gbp,predicted_value_tier,collectibility_score,collectibility_segment,premium_collectibility_group,recommended_sales_path,sales_path_reason,recommended_fixed_price_gbp,recommended_reserve_price_gbp,specialist_review_required,specialist_review_reason,commercial_opportunity_flag
B278,231,14 BHB,3010.0,3058.6181930980206,2450.0,3060.0,3820.0,Upper Core,27,Distinctive,Standard Portfolio,Standard Auction,meaningful_upside_and_competitive_bidding_potential,,2140.0,0,standard_automated_path,standard_monitoring
B278,232,BHO 644L,3000.0,959.9214774841424,770.0,960.0,1200.0,Entry,8,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1060.0,,0,standard_automated_path,standard_monitoring
B278,233,BHX 10G,310.0,985.9338149215528,790.0,990.0,1230.0,Entry,25,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1090.0,,0,standard_automated_path,material_valuation_gap_review
B278,234,BIG 613,2110.0,904.4581620236404,720.0,900.0,1130.0,Entry,5,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,990.0,,0,standard_automated_path,standard_monitoring
B278,235,BJR 80Y,690.0,1394.682636627414,1120.0,1390.0,1740.0,Core,20,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1530.0,,0,standard_automated_path,material_valuation_gap_review
B278,236,B84 JWA,4000.0,563.425966722396,450.0,560.0,700.0,Entry,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,620.0,,0,standard_automated_path,standard_monitoring
B278,237,1312 BK,2200.0,2679.93727168011,2140.0,2680.0,3350.0,Upper Core,3,Standard,Standard Portfolio,Standard Auction,meaningful_upside_and_competitive_bidding_potential,,1880.0,0,standard_automated_path,standard_monitoring
B278,238,B357 KEY,1030.0,625.8684141836475,500.0,630.0,780.0,Entry,5,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,690.0,,0,standard_automated_path,standard_monitoring
B278,239,B42 KHN,600.0,715.0592987573542,570.0,720.0,890.0,Entry,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,790.0,,0,standard_automated_path,standard_monitoring
B278,240,BKR 111W,770.0,1519.2150355434285,1220.0,1520.0,1900.0,Core,23,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1670.0,,0,standard_automated_path,material_valuation_gap_review
B278,241,BLA 153E,1520.0,975.849704301708,780.0,980.0,1220.0,Entry,5,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1080.0,,0,standard_automated_path,standard_monitoring
B278,242,B831 LLA,510.0,518.3783402959077,410.0,520.0,650.0,Entry,7,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,570.0,,0,standard_automated_path,standard_monitoring
B278,243,B58 LOL,1990.0,704.8091483720285,560.0,700.0,880.0,Entry,17,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,770.0,,0,standard_automated_path,standard_monitoring
B278,244,BLR 1M,3520.0,1939.9466309201107,1550.0,1940.0,2420.0,Core,40,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,2130.0,,0,standard_automated_path,standard_monitoring
B278,245,BLU 73K,670.0,1210.805510458781,970.0,1210.0,1510.0,Core,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1330.0,,0,standard_automated_path,material_valuation_gap_review
B278,246,BLU 3R,4160.0,1813.9001091453863,1450.0,1810.0,2270.0,Core,35,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1990.0,,0,standard_automated_path,standard_monitoring
B278,247,BLU 6W,1000.0,1813.1192419360625,1450.0,1810.0,2270.0,Core,35,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1990.0,,0,standard_automated_path,material_valuation_gap_review
B278,248,B182 MAC,640.0,394.9941368364783,320.0,390.0,490.0,Entry,5,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,430.0,,0,standard_automated_path,standard_monitoring
B278,249,B100 MEE,1810.0,805.5922278799203,640.0,810.0,1010.0,Entry,20,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,890.0,,0,standard_automated_path,standard_monitoring
B278,250,B42 MHL,240.0,715.0592987573542,570.0,720.0,890.0,Entry,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,790.0,,0,standard_automated_path,material_valuation_gap_review
B278,251,B34 MSH,450.0,544.1529087944127,440.0,540.0,680.0,Entry,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,590.0,,0,standard_automated_path,standard_monitoring
B278,252,BMV 1P,3870.0,1939.9466309201107,1550.0,1940.0,2420.0,Core,40,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,2130.0,,0,standard_automated_path,standard_monitoring
B278,253,BMZ 10,1180.0,2123.5018443114077,1700.0,2120.0,2650.0,Core,35,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,2330.0,,0,standard_automated_path,material_valuation_gap_review
B278,254,2021 BN,1650.0,2776.641021512275,2220.0,2780.0,3470.0,Upper Core,3,Standard,Standard Portfolio,Standard Auction,meaningful_upside_and_competitive_bidding_potential,,1950.0,0,standard_automated_path,material_valuation_gap_review
B278,255,B46 NAL,900.0,750.9754496428411,600.0,750.0,940.0,Entry,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,830.0,,0,standard_automated_path,standard_monitoring
B278,256,3 BNH,3210.0,5432.516074329996,4350.0,5430.0,6790.0,Premium,57,High Collectible,Collectible Potential,Specialist Review,structural_collectibility_above_observed_value,,,1,structural_collectibility_above_observed_value,collectible_value_review
B278,257,B333 NJO,660.0,710.4680634178094,570.0,710.0,890.0,Entry,23,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,780.0,,0,standard_automated_path,standard_monitoring
B278,258,56 BO,5810.0,7136.350940794305,5710.0,7140.0,8920.0,Premium,47,High Collectible,Premium + Collectible,Premium Auction / Showcase,high_collectibility_and_high_predicted_value,,4640.0,0,standard_automated_path,standard_monitoring
B278,259,BOB 5A,2500.0,1829.520514321245,1460.0,1830.0,2290.0,Core,37,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,2010.0,,0,standard_automated_path,standard_monitoring
B278,260,BO20 BBY,680.0,1891.1531345296728,1510.0,1890.0,2360.0,Core,22,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,2080.0,,0,standard_automated_path,material_valuation_gap_review
B278,261,BOB 430F,800.0,955.3030476770113,760.0,960.0,1190.0,Entry,12,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1060.0,,0,standard_automated_path,standard_monitoring
B278,262,BOC 4D,1440.0,1823.295655001023,1460.0,1820.0,2280.0,Core,35,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,2000.0,,0,standard_automated_path,standard_monitoring
B278,263,BOG 13S,2810.0,1434.862707522034,1150.0,1430.0,1790.0,Core,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1570.0,,0,standard_automated_path,standard_monitoring
B278,264,B70 OKF,400.0,442.9714228114794,350.0,440.0,550.0,Entry,20,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,480.0,,0,standard_automated_path,standard_monitoring
B278,265,BOR 6A,1410.0,1813.1192419360625,1450.0,1810.0,2270.0,Core,35,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1990.0,,0,standard_automated_path,standard_monitoring
B278,266,B80 OSS,9210.0,1034.4321598398042,830.0,1030.0,1290.0,Core,22,Distinctive,Premium Value Only,Specialist Review,high_market_value_not_fully_explained,,,1,high_market_value_not_fully_explained,specialist_assessment
B278,267,BOU 55H,1010.0,1339.864271072765,1070.0,1340.0,1670.0,Core,33,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1470.0,,0,standard_automated_path,standard_monitoring
B278,268,B10 OUT,1620.0,907.89384322451,730.0,910.0,1130.0,Entry,25,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1000.0,,0,standard_automated_path,standard_monitoring
B278,269,BOX 273R,1000.0,876.4554105359763,700.0,880.0,1100.0,Entry,5,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,970.0,,0,standard_automated_path,standard_monitoring
B278,270,BOY 570N,310.0,1117.4198237610576,890.0,1120.0,1400.0,Core,10,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1230.0,,0,standard_automated_path,material_valuation_gap_review
B278,271,B33 PER,1410.0,641.6325171932125,510.0,640.0,800.0,Entry,33,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,700.0,,0,standard_automated_path,standard_monitoring
B278,272,B816 POO,1080.0,499.660828210779,400.0,500.0,620.0,Entry,7,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,550.0,,0,standard_automated_path,standard_monitoring
B278,273,BPR 16E,990.0,1276.1042877252369,1020.0,1280.0,1600.0,Core,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1410.0,,0,standard_automated_path,standard_monitoring
B278,274,BRA 2A,1010.0,1881.1092511472784,1500.0,1880.0,2350.0,Core,37,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,2070.0,,0,standard_automated_path,material_valuation_gap_review
B278,275,BR12 ADY,3510.0,1050.2524609764473,840.0,1050.0,1310.0,Core,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1160.0,,0,standard_automated_path,standard_monitoring
B278,276,B355 RAF,200.0,564.8578328725291,450.0,560.0,710.0,Entry,8,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,620.0,,0,standard_automated_path,material_valuation_gap_review
B278,277,B559 RAM,210.0,812.6298142423193,650.0,810.0,1020.0,Entry,8,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,890.0,,0,standard_automated_path,material_valuation_gap_review
B278,278,BR68 ETT,540.0,1278.0818249644233,1020.0,1280.0,1600.0,Core,17,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1410.0,,0,standard_automated_path,material_valuation_gap_review
B278,279,B34 RLG,270.0,544.1529087944127,440.0,540.0,680.0,Entry,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,590.0,,0,standard_automated_path,material_valuation_gap_review
B278,280,11 BRN,3910.0,4921.345569618773,3940.0,4920.0,6150.0,Upper Core,43,Collectible,Standard Portfolio,Standard Auction,meaningful_upside_and_competitive_bidding_potential,,3440.0,0,standard_automated_path,standard_monitoring
B278,281,BRO 944N,1260.0,1251.8342758000083,1000.0,1250.0,1560.0,Core,8,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1380.0,,0,standard_automated_path,standard_monitoring
B278,282,BRO 511S,510.0,1149.4740653540682,920.0,1150.0,1440.0,Core,8,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1260.0,,0,standard_automated_path,material_valuation_gap_review
