event_code,lot_number,plate_raw,hammer_price_gbp,predicted_price_gbp,valuation_low_gbp,valuation_central_gbp,valuation_high_gbp,predicted_value_tier,collectibility_score,collectibility_segment,premium_collectibility_group,recommended_sales_path,sales_path_reason,recommended_fixed_price_gbp,recommended_reserve_price_gbp,specialist_review_required,specialist_review_reason,commercial_opportunity_flag
B278,283,BRO 8Y,2420.0,1786.5298548089866,1430.0,1790.0,2230.0,Core,40,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1970.0,,0,standard_automated_path,standard_monitoring
B278,284,BR16 UCE,990.0,1211.5777752622412,970.0,1210.0,1510.0,Core,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1330.0,,0,standard_automated_path,standard_monitoring
B278,285,BRW 11S,1040.0,1434.782915493227,1150.0,1430.0,1790.0,Core,33,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1570.0,,0,standard_automated_path,standard_monitoring
B278,286,BRZ 85,1020.0,1548.1868004250537,1240.0,1550.0,1940.0,Core,25,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1710.0,,0,standard_automated_path,material_valuation_gap_review
B278,287,15 BSA,5000.0,3294.842689858837,2640.0,3290.0,4120.0,Upper Core,25,Distinctive,Standard Portfolio,Standard Auction,meaningful_upside_and_competitive_bidding_potential,,2300.0,0,standard_automated_path,standard_monitoring
B278,288,BSH 421F,1110.0,909.9971898082694,730.0,910.0,1140.0,Entry,5,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1000.0,,0,standard_automated_path,standard_monitoring
B278,289,B123 SHY,270.0,584.8881530598101,470.0,580.0,730.0,Entry,13,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,640.0,,0,standard_automated_path,material_valuation_gap_review
B278,290,B45 SRA,3530.0,797.3971089798049,640.0,800.0,1000.0,Entry,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,880.0,,0,standard_automated_path,standard_monitoring
B278,291,24 BSS,3260.0,4214.222473134869,3370.0,4210.0,5270.0,Upper Core,27,Distinctive,Standard Portfolio,Standard Auction,meaningful_upside_and_competitive_bidding_potential,,2950.0,0,standard_automated_path,standard_monitoring
B278,292,B355 STY,2010.0,564.8578328725291,450.0,560.0,710.0,Entry,8,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,620.0,,0,standard_automated_path,standard_monitoring
B278,293,BSW 4N,1250.0,1823.295655001023,1460.0,1820.0,2280.0,Core,35,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,2000.0,,0,standard_automated_path,standard_monitoring
B278,294,BSW 1T,1010.0,1939.9466309201107,1550.0,1940.0,2420.0,Core,40,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,2130.0,,0,standard_automated_path,material_valuation_gap_review
B278,295,B33 TAG,400.0,641.6325171932125,510.0,640.0,800.0,Entry,33,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,700.0,,0,standard_automated_path,material_valuation_gap_review
